INN,sqm_sum,sqm_mean,sqm_median,City,Turnover_sum_last_12,Turnover_max_last_12,Turnover_median_last_12,Turnover_deriv,Latest_date,First_date,start_date,Price,ACTIVITY_AND_ATTRITION,Active_months,Seasonality,upper_bound,legal_type,sum_debits,n_debits,unique_addresses_last_12,SQM_SINGLE_MATS_IN_ACTIVE_SPECIFICATIONS,total_spacetime_area,Frequency_of_changes_sum,weighted_changes,total_recalculations,sum_recalculations,ДАТА КОНТРАКТА,Dur_months,weather_sum_0,weather_avg_0,weather_winter_sum_0,weather_winter_avg_0,weather_sum_1,weather_avg_1,weather_winter_sum_1,weather_winter_avg_1
274110679.0,3711.019999999999,309.2516666666666,341.79,Москва,345873.9666666667,41199.65,31692.0875,24982.5416666667,2025-05-01,2020-01-01,2022-08-01,93.20186004566581,0,12,0,2023-07-01,АО,0.0,0.0,1,3426850.0,41122200.0,504.0,0.007350411884265332,10.0,9038.26,2020-01-01,41.95137976346912,84.7,7.058333333333334,-12.200000000000001,-2.4400000000000004,690.0,57.5,266.0,53.2
411152793.0,373.5,31.125,29.88,Москва,56771.999999999985,9387.3,4307.7,5079.599999999999,2023-12-01,2020-01-01,2023-01-01,151.99999999999997,0,12,0,2023-12-01,Other,-52616.0,9.0,1,1643400.0,3286800.0,88.0,9.791683397776745e-05,2.0,7081.56,2022-01-10,22.667542706964518,86.7,7.2250000000000005,-11.200000000000001,-2.24,749.0,62.416666666666664,279.0,55.8
608011790.0,158.1,13.174999999999999,12.75,Москва,33151.98154761904,3031.025,2933.25,721.3553571428602,2025-05-01,2020-01-01,2022-08-01,209.68995286286554,0,12,0,2023-07-01,ООО,-21234.0,11.0,2,471750.0,1581000.0,88.0,8.052488811059554e-05,0.0,0.0,2019-11-15,43.495400788436264,84.7,7.058333333333334,-12.200000000000001,-2.4400000000000004,690.0,57.5,266.0,53.2
725017259.0,249.4,20.783333333333335,20.549999999999997,Москва,46148.59966227217,3845.71667073568,3845.71666666667,0.0001180013000521285,2025-05-01,2020-01-01,2022-11-01,185.0384910275548,0,12,0,2023-10-01,ООО,-23067.0,10.0,2,582000.0,2328000.0,96.0,0.00013870657752235768,0.0,0.0,2016-01-22,92.27989487516426,85.70000000000002,7.141666666666668,-12.200000000000001,-2.4400000000000004,736.0,61.333333333333336,266.0,53.2
1327029232.0,242.25,34.607142857142854,33.15,Москва,46503.908805338506,12760.1253255208,6616.36108398438,11129.6003255208,2025-04-01,2020-01-01,2022-12-01,191.96659981563883,0,7,1,2023-11-01,ООО,-40485.0,7.0,2,229500.0,2754000.0,108.0,0.0004922653537326973,3.0,-10519.94,2018-11-20,59.36268068331143,87.10000000000001,7.258333333333334,-10.8,-2.16,786.0,65.5,316.0,63.2
1513081504.0,0.0,0.0,0.0,Москва,0.0,0.0,0.0,0.0,2025-05-01,2024-01-01,2023-01-01,0.0,0,0,0,2023-12-01,ООО,-1289.0,1.0,1,10200.0,20400.0,2.0,6.077350046082683e-07,0.0,0.0,2023-12-01,0.0,86.7,7.2250000000000005,-11.200000000000001,-2.24,749.0,62.416666666666664,279.0,55.8
1841065061.0,216.19999999999996,18.016666666666662,19.549999999999997,Москва,38557.60012207033,3356.26668294271,0.0,580.2666829427098,2023-07-01,2020-01-01,2022-08-01,0.0,0,12,0,2023-07-01,ООО,0.0,0.0,1,253000.0,2024000.0,88.0,0.00024118738222100687,0.0,0.0,2018-10-19,56.37319316688568,84.7,7.058333333333334,-12.200000000000001,-2.4400000000000004,690.0,57.5,266.0,53.2
2011005220.0,39.099999999999994,9.774999999999999,9.2,Москва,11567.08333333334,3402.08333333333,2721.66666666667,680.4166666666597,2025-05-01,2023-04-01,2022-08-01,295.83333333333354,0,4,0,2023-07-01,ООО,0.0,0.0,1,92000.0,368000.0,16.0,2.1926125656455167e-05,0.0,0.0,2023-04-03,2.923784494086728,84.7,7.058333333333334,-12.200000000000001,-2.4400000000000004,690.0,57.5,266.0,53.2
2315227383.0,18.0,18.0,18.0,Москва,2900.0,2900.0,2900.0,0.0,2025-05-01,2023-08-01,2022-09-01,161.11111111111111,0,1,0,2023-08-01,ООО,-3480.0,1.0,1,45000.0,180000.0,4.0,1.0724735375440027e-05,0.0,0.0,2023-08-01,0.0,82.50000000000001,6.875000000000001,-12.200000000000001,-2.4400000000000004,749.0,62.416666666666664,266.0,53.2
2370001556.0,95.58,13.654285714285715,12.33,Москва,24664.33341471355,4916.66666666667,3291.66666666667,2616.6666666666697,2024-11-01,2022-12-01,2023-02-01,258.04910456908925,0,7,1,2024-01-01,ООО,-23863.0,7.0,1,235700.0,942800.0,56.0,5.6173780622027e-05,1.0,-400.0,2022-12-19,12.417871222076215,81.3,6.7749999999999995,-13.799999999999999,-2.76,765.0,63.75,200.0,40.0
2540167061.0,1827.135,38.0653125,28.6,Москва,301404.5287981306,11982.6666666667,5264.99166666667,10920.1666666667,2025-05-01,2020-02-01,2022-11-01,164.96018564481037,0,12,0,2023-10-01,ООО,-209204.0,86.0,8,3212700.0,12298800.0,512.0,0.0007163408248435576,0.0,0.0,2020-02-17,43.42969776609724,85.70000000000002,7.141666666666668,-12.200000000000001,-2.4400000000000004,736.0,61.333333333333336,266.0,53.2
3000009457.0,36.8,18.4,18.4,Москва,8976.0,5610.0,4488.0,2244.0,2025-05-01,2023-10-01,2022-12-01,243.91304347826087,0,2,0,2023-11-01,ООО,-10771.0,2.0,1,92000.0,368000.0,8.0,2.1926125656455167e-05,0.0,0.0,2023-10-10,0.7227332457293035,87.10000000000001,7.258333333333334,-10.8,-2.16,786.0,65.5,316.0,63.2
3017058220.0,537.85,67.23125,69.4,Москва,127950.7506510417,18560.2506510417,15512.5,4124.500651041701,2025-04-01,2022-12-01,2023-07-01,237.89300111748943,0,8,1,2024-06-01,ООО,-49602.0,8.0,1,694000.0,5552000.0,128.0,0.0006615970089382559,3.0,-4949.4,2022-12-12,17.641261498028907,85.5,7.125,-16.7,-3.34,863.0,71.91666666666667,264.0,52.8
3301016507.0,246.56,20.546666666666667,22.08,Москва,36260.66241396949,4261.09171549479,3656.370922851565,3898.958382161457,2025-05-01,2020-01-01,2022-10-01,147.06628169195932,0,12,0,2023-09-01,ООО,0.0,0.0,1,740600.0,2847400.0,79.0,0.0001672552272731471,1.0,-367.01,2017-02-16,78.44940867279894,87.40000000000002,7.283333333333335,-12.200000000000001,-2.4400000000000004,680.0,56.666666666666664,266.0,53.2
3301036461.0,143.51999999999998,11.959999999999999,11.04,Москва,25321.32500000002,2382.61666666667,2019.275,363.3416666666699,2025-05-01,2020-01-01,2022-11-01,176.43063684503917,0,12,0,2023-10-01,ООО,-23115.0,10.0,1,662400.0,1324800.0,24.0,3.94670261816193e-05,0.0,0.0,2019-07-10,50.7227332457293,85.70000000000002,7.141666666666668,-12.200000000000001,-2.4400000000000004,736.0,61.333333333333336,266.0,53.2
3302007079.0,187.20000000000002,15.600000000000001,14.4,Москва,31217.819940476194,2651.37648809524,2651.37648809524,256.58482142856974,2025-05-01,2020-01-01,2022-11-01,166.7618586563899,0,12,0,2023-10-01,ООО,-31196.0,12.0,1,432000.0,1728000.0,48.0,0.00010295745960422428,0.0,0.0,2009-02-24,175.16425755584757,85.70000000000002,7.141666666666668,-12.200000000000001,-2.4400000000000004,736.0,61.333333333333336,266.0,53.2
3304025940.0,203.95,25.49375,20.395,Москва,28480.26661783854,3589.95,3589.95,239.33333333332985,2023-12-01,2020-01-01,2022-10-01,139.6433764051902,0,8,0,2023-09-01,ООО,-25065.0,7.0,2,1499650.0,1499650.0,29.0,2.2337985285803662e-05,1.0,-287.2,2018-10-01,59.00131406044678,87.40000000000002,7.283333333333335,-12.200000000000001,-2.4400000000000004,680.0,56.666666666666664,266.0,53.2
3311013880.0,215.775,43.155,41.1,Москва,56500.5501953125,11834.5751953125,11452.8166666667,1527.0418619792,2025-02-01,2020-01-01,2023-07-01,261.8493810465184,1,5,1,2024-06-01,ООО,-27944.0,5.0,1,411000.0,1644000.0,32.0,9.795258309568559e-05,0.0,0.0,2016-02-17,99.44152431011827,85.5,7.125,-16.7,-3.34,863.0,71.91666666666667,264.0,52.8
3311021111.0,216.75000000000003,18.062500000000004,17.34,Москва,69634.98404715404,6066.40476190476,5870.71428571429,680.5029761904698,2025-05-01,2020-01-01,2023-07-01,321.26866919102207,0,12,0,2024-06-01,ООО,7516.0,7.0,1,476850.0,1907400.0,88.0,0.00011364644586174614,0.0,0.0,2015-10-01,104.00788436268068,85.5,7.125,-16.7,-3.34,863.0,71.91666666666667,264.0,52.8
3327329342.0,66.3,5.5249999999999995,5.1,Москва,20837.382481166296,1841.33541666667,1705.93320486886,206.5050595238099,2025-05-01,2020-01-01,2023-05-01,314.28932852437856,0,12,0,2024-04-01,ООО,-13848.0,12.0,1,153000.0,612000.0,48.0,3.64641002764961e-05,0.0,0.0,2009-04-29,179.0735873850197,82.39999999999999,6.866666666666666,-16.7,-3.34,751.0,62.583333333333336,264.0,52.8
3328432984.0,124.2,10.35,9.2,Москва,25599.15,2175.09166666667,2133.2625,83.65833333333967,2025-05-01,2022-07-01,2023-01-01,206.11231884057972,0,12,0,2023-12-01,ООО,-20617.0,10.0,1,552000.0,1104000.0,24.0,3.288918848468275e-05,0.0,0.0,2022-07-01,17.017082785808146,86.7,7.2250000000000005,-11.200000000000001,-2.24,749.0,62.416666666666664,279.0,55.8
3328459312.0,407.45,58.207142857142856,56.2,Москва,85713.85885416667,12820.8919270833,12820.8916666667,3205.2252604166297,2025-02-01,2022-02-01,2023-07-01,210.36656977338734,1,7,1,2024-06-01,АО,-29777.0,7.0,1,983500.0,3934000.0,84.0,0.00023439504981656145,3.0,-6923.28,2022-02-14,27.529566360052563,85.5,7.125,-16.7,-3.34,863.0,71.91666666666667,264.0,52.8
